dataset,tool,out_distinct_lines,verbatim_input_lines,verbatim_pct,emits_original
D_example_wb.full,udud,125837,94865,75.387,no
D_example_wb.full,uro,78470,71137,90.655,no
D_example_wb.full,urldedupe,293420,293420,100.0,yes
D_example_wb.full,urless,74737,58651,78.477,no
D_vulnweb.full,udud,1409,676,47.977,no
D_vulnweb.full,uro,2362,2080,88.061,no
D_vulnweb.full,urldedupe,4052,4052,100.0,yes
D_vulnweb.full,urless,3416,2427,71.048,no
D_vulnweb.full,uddup,13684,13634,99.635,no
D_example_gau.full,udud,5261,2242,42.615,no
D_example_gau.full,uro,4048,3808,94.071,no
D_example_gau.full,urldedupe,41657,41657,100.0,yes
D_example_gau.full,urless,5228,2098,40.13,no
D_example_gau.full,uddup,13096,13057,99.702,no
