dataset,tool,status,n,out_lines,deterministic,wall_mean_s,wall_sd,wall_median_s,wall_min_s,wall_max_s,wall_ci95_s,wall_cov_pct,cpu_mean_s,cpu_ci95_s,rss_mean_kb,rss_sd_kb,rss_max_kb,rss_ci95_kb,rss_cov_pct,throughput_lines_per_s,throughput_MB_per_s
D_example_wb.25000,udud,OK,10,487,True,0.2878,0.0067,0.287,0.279,0.299,0.0048,2.34,0.2876,0.0049,3207.2,71.7,3308,51.3,2.24,1692.1,24.4
D_example_wb.25000,uro,OK,10,586,True,1.0049,0.0265,1.0055,0.972,1.038,0.0189,2.64,1.0045,0.0189,17797.2,90.5,17952,64.7,0.51,583.1,7.0
D_example_wb.25000,urldedupe,OK,10,3376,True,0.3511,0.0131,0.348,0.343,0.388,0.0094,3.73,0.3507,0.0092,18033.2,53.9,18088,38.5,0.3,9615.5,20.0
D_example_wb.25000,urless,OK,10,633,True,1.1982,0.0146,1.2,1.177,1.223,0.0104,1.21,1.1978,0.0103,30806.0,53.2,30936,38.1,0.17,528.3,5.9
D_example_wb.25000,uddup,OK,3,20599,True,2.8047,0.0186,2.796,2.792,2.826,0.0462,0.66,2.803,0.0456,28032.0,76.3,28112,189.6,0.27,7344.5,2.5
D_example_wb.50000,udud,OK,10,763,True,0.533,0.0515,0.5185,0.51,0.679,0.0369,9.67,0.5326,0.037,3446.0,69.6,3524,49.8,2.02,1431.5,24.4
D_example_wb.50000,uro,OK,10,821,True,2.0078,0.0358,2.001,1.952,2.061,0.0256,1.78,2.007,0.0254,17876.8,52.0,17968,37.2,0.29,408.9,6.5
D_example_wb.50000,urldedupe,OK,10,4007,True,0.6661,0.0089,0.6625,0.657,0.68,0.0064,1.34,0.6657,0.0064,29578.4,48.9,29644,35.0,0.17,6015.6,19.5
D_example_wb.50000,urless,OK,10,871,True,2.3582,0.0437,2.3455,2.312,2.449,0.0312,1.85,2.3569,0.0313,30939.2,51.3,31056,36.7,0.17,369.3,5.5
D_example_wb.50000,uddup,OK,3,45269,True,5.891,0.0676,5.853,5.851,5.969,0.1678,1.15,5.8883,0.1671,41249.3,133.9,41400,332.6,0.32,7684.4,2.2
D_example_wb.100000,udud,OK,10,1461,True,1.0264,0.0119,1.0265,1.003,1.045,0.0085,1.16,1.0259,0.0085,3709.6,68.7,3796,49.1,1.85,1423.4,25.5
D_example_wb.100000,uro,OK,10,1089,True,5.4082,0.0495,5.389,5.363,5.518,0.0354,0.92,5.4053,0.0346,18038.0,74.1,18132,53.0,0.41,201.4,4.8
D_example_wb.100000,urldedupe,OK,10,4980,True,1.4299,0.0259,1.421,1.409,1.498,0.0186,1.81,1.4289,0.0186,53928.0,35.9,53968,25.7,0.07,3482.8,18.3
D_example_wb.100000,urless,OK,10,1561,True,15.4955,0.0549,15.4835,15.418,15.613,0.0393,0.35,15.4872,0.0396,31943.2,46.3,32012,33.1,0.14,100.7,1.7
D_example_wb.100000,uddup,SKIP_SIZE,0,,,,,,,,,,,,,,,,,,
D_example_wb.200000,udud,OK,10,1482,True,1.9224,0.0221,1.9085,1.903,1.967,0.0158,1.15,1.9215,0.016,3701.6,43.3,3748,31.0,1.17,770.9,24.8
D_example_wb.200000,uro,OK,10,1096,True,16.1293,0.1955,16.106,15.908,16.606,0.1398,1.21,16.1217,0.1396,18229.6,68.4,18320,48.9,0.38,68.0,3.0
D_example_wb.200000,urldedupe,OK,10,5042,True,2.973,0.0202,2.9675,2.944,3.017,0.0144,0.68,2.9717,0.0145,101361.2,42.0,101404,30.0,0.04,1695.9,16.0
D_example_wb.200000,urless,OK,10,1582,True,57.3249,0.7226,57.297,56.08,58.843,0.5169,1.26,57.2964,0.5159,31964.4,56.3,32096,40.2,0.18,27.6,0.8
D_example_wb.200000,uddup,SKIP_SIZE,0,,,,,,,,,,,,,,,,,,
D_example_wb.400000,udud,OK,10,1482,True,3.6947,0.0646,3.6705,3.639,3.827,0.0462,1.75,3.6906,0.0436,3720.8,65.5,3812,46.9,1.76,401.1,23.6
D_example_wb.400000,uro,OK,10,1096,True,28.5145,0.1911,28.4475,28.304,28.943,0.1367,0.67,28.5018,0.1361,18152.8,75.9,18324,54.3,0.42,38.4,3.1
D_example_wb.400000,urldedupe,OK,10,5045,True,5.9704,0.0355,5.9765,5.924,6.025,0.0254,0.59,5.9673,0.0253,185074.0,41.2,185116,29.5,0.02,845.0,14.6
D_example_wb.400000,urless,OK,10,1582,True,134.0059,0.8892,134.3195,132.153,135.181,0.636,0.66,133.9437,0.6354,31938.0,64.4,32088,46.1,0.2,11.8,0.6
D_example_wb.400000,uddup,SKIP_SIZE,0,,,,,,,,,,,,,,,,,,
D_example_wb.full,udud,OK,10,125837,True,9.3643,0.4139,9.248,9.137,10.524,0.2961,4.42,9.3599,0.2952,18882.0,41.5,18944,29.7,0.22,13438.0,14.4
D_example_wb.full,uro,OK,10,78470,True,39.7633,0.2573,39.796,39.363,40.317,0.1841,0.65,39.7437,0.184,35898.4,56.8,36028,40.6,0.16,1973.4,3.4
D_example_wb.full,urldedupe,OK,10,293420,True,9.4115,0.0868,9.3735,9.327,9.554,0.0621,0.92,9.4066,0.0622,343986.8,47.3,344036,33.8,0.01,31176.8,14.3
D_example_wb.full,urless,OK,10,74737,True,172.1608,1.4323,172.399,168.604,174.194,1.0245,0.83,172.0779,1.0227,46376.8,29.7,46416,21.3,0.06,434.1,0.8
D_example_wb.full,uddup,SKIP_SIZE,0,,,,,,,,,,,,,,,,,,
D_vulnweb.full,udud,OK,10,1409,True,0.0706,0.0007,0.0705,0.07,0.072,0.0005,0.99,0.0701,0.0006,3574.8,61.9,3648,44.3,1.73,19957.5,17.1
D_vulnweb.full,uro,OK,10,2362,True,0.4463,0.0043,0.447,0.437,0.452,0.0031,0.96,0.4454,0.0033,17770.0,61.9,17868,44.2,0.35,5292.4,2.7
D_vulnweb.full,urldedupe,OK,10,4052,True,0.0806,0.0007,0.081,0.079,0.081,0.0005,0.87,0.0805,0.0005,7346.4,51.9,7392,37.1,0.71,50273.0,15.0
D_vulnweb.full,urless,OK,10,3416,True,1.9292,0.0254,1.9325,1.891,1.965,0.0182,1.32,1.928,0.0181,31183.6,30.4,31240,21.7,0.1,1770.7,0.6
D_vulnweb.full,uddup,OK,3,13684,True,4.811,0.1518,4.732,4.715,4.986,0.3771,3.16,4.8073,0.3809,18861.3,25.7,18880,63.9,0.14,2844.3,0.3
D_example_gau.full,udud,OK,10,5261,True,0.7561,0.0161,0.7515,0.74,0.785,0.0115,2.13,0.7556,0.0117,3958.0,70.4,4032,50.4,1.78,6958.1,7.0
D_example_gau.full,uro,OK,10,4048,True,1.0993,0.0071,1.097,1.093,1.117,0.0051,0.65,1.0986,0.0051,19419.6,54.1,19544,38.7,0.28,3682.3,4.8
D_example_gau.full,urldedupe,OK,10,41657,True,0.341,0.0058,0.339,0.336,0.355,0.0042,1.72,0.3409,0.0042,22484.8,51.6,22572,36.9,0.23,122161.3,15.5
D_example_gau.full,urless,OK,10,5228,True,1.3697,0.0377,1.361,1.336,1.464,0.0269,2.75,1.369,0.0268,31941.6,33.5,31988,24.0,0.1,3816.9,3.9
D_example_gau.full,uddup,OK,3,13096,True,81.4967,0.5594,81.605,80.891,81.994,1.3898,0.69,81.4577,1.3859,18670.7,33.5,18692,83.3,0.18,160.7,0.1
