tool,trial,wall_s,cpu_s,peak_rss_kb,out_lines,exit,status,sha256
udud,1,1.740,1.736,23164,115764,0,OK,f44084a4f419498cf7f92f52acac437c4fe026910d6eb9c6f3fa76d7bbd36f20
udud,2,1.804,1.797,23176,115764,0,OK,f44084a4f419498cf7f92f52acac437c4fe026910d6eb9c6f3fa76d7bbd36f20
udud,3,1.730,1.725,23124,115764,0,OK,f44084a4f419498cf7f92f52acac437c4fe026910d6eb9c6f3fa76d7bbd36f20
udud,4,1.950,1.946,23168,115764,0,OK,f44084a4f419498cf7f92f52acac437c4fe026910d6eb9c6f3fa76d7bbd36f20
udud,5,1.927,1.923,23136,115764,0,OK,f44084a4f419498cf7f92f52acac437c4fe026910d6eb9c6f3fa76d7bbd36f20
uro,1,7.802,7.788,28272,64667,0,OK,698bd05ba6565d4ca51a29128ab9888118716d5810d50193d80c41ea7f1ce78a
uro,2,7.555,7.541,28256,64667,0,OK,698bd05ba6565d4ca51a29128ab9888118716d5810d50193d80c41ea7f1ce78a
uro,3,7.852,7.836,28224,64667,0,OK,698bd05ba6565d4ca51a29128ab9888118716d5810d50193d80c41ea7f1ce78a
uro,4,7.408,7.394,28272,64667,0,OK,698bd05ba6565d4ca51a29128ab9888118716d5810d50193d80c41ea7f1ce78a
uro,5,7.358,7.344,28336,64667,0,OK,698bd05ba6565d4ca51a29128ab9888118716d5810d50193d80c41ea7f1ce78a
urldedupe,1,2.276,2.271,198652,380650,0,OK,d0345e17a21c8d62201652f9c6ba966deaa762ec89779f2ece9d73edb160faf2
urldedupe,2,2.388,2.382,198512,380650,0,OK,d0345e17a21c8d62201652f9c6ba966deaa762ec89779f2ece9d73edb160faf2
urldedupe,3,2.445,2.438,198500,380650,0,OK,d0345e17a21c8d62201652f9c6ba966deaa762ec89779f2ece9d73edb160faf2
urldedupe,4,2.366,2.361,198660,380650,0,OK,d0345e17a21c8d62201652f9c6ba966deaa762ec89779f2ece9d73edb160faf2
urldedupe,5,2.273,2.267,198524,380650,0,OK,d0345e17a21c8d62201652f9c6ba966deaa762ec89779f2ece9d73edb160faf2
urless,1,8.893,8.873,41480,64138,0,OK,f23031083f4ff54fb5bf1831f7b7bf6f133c53d33bab41d6457a7d7562f61e49
urless,2,9.183,9.160,41456,64138,0,OK,f23031083f4ff54fb5bf1831f7b7bf6f133c53d33bab41d6457a7d7562f61e49
urless,3,9.075,9.055,41508,64138,0,OK,f23031083f4ff54fb5bf1831f7b7bf6f133c53d33bab41d6457a7d7562f61e49
urless,4,8.827,8.808,41628,64138,0,OK,f23031083f4ff54fb5bf1831f7b7bf6f133c53d33bab41d6457a7d7562f61e49
urless,5,8.994,8.974,41532,64138,0,OK,f23031083f4ff54fb5bf1831f7b7bf6f133c53d33bab41d6457a7d7562f61e49
uddup,0,NA,NA,NA,NA,124,DNF,
